,id,startlanguage,D001,D002,D003,D004,D005,M001,M002,M003,T001_SQ001,T001_SQ002,T001_SQ003,T001_SQ004,T001_SQ005,T001_SQ006,T001_SQ007,T001a,T002_SQ001,T002_SQ002,T002_SQ003,T002_SQ004,T002_SQ005,T002_SQ007,T003_SQ001,T003_SQ002,T003_SQ003,T003_SQ004,T003_SQ005,T003a,T004_SQ001,T004_SQ002,T004_SQ003,T004_SQ004,T004_SQ005,T004_SQ006,T004_SQ007,T004a,MM001,WM002_SQ001,WM002_SQ002,WM002_SQ003,WM002_SQ004,WM002_SQ005,WM002_SQ006,WM002_SQ007,WM002_SQ008,WM002a,MM002_SQ001,MM002_SQ002,MM002_SQ003,MM002_SQ004,MM002_SQ005,MM002_SQ006,MM002_SQ007,MM002_SQ008,MM002a,MM003_SQ001,MM003_SQ002,MM003_SQ003,MM003_SQ004,MM003_SQ005,MM003_SQ007,MM003_SQ006,MM003a,MM003b_SQ001,MM003b_SQ002,MM003b_SQ003,MM003b_SQ004,MM003b_SQ005,MM003b_SQ006,MM004_SQ001,MM004_SQ002,MM004_SQ003,MM004_SQ004,MM004_SQ005,MM004a,AC001
75,18,en,22,Female,NA,Student,USA,Once per week,Less than once per week,1 to 2 hours,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,making to do lists and taking notes.,NA,NA,"keeping track of time, referencing emails.",NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA
76,22,en,30,Female,NA,Research assistant,USA,Several times per week,Once per week,30 minutes to 1 hour,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Taking notes and writing out ideas,Sharing info/ writing things to do,NA,Checking the time,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Yes,Not selected,Yes,Yes,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Not selected,NA,NA
77,23,en,25,Female,NA,Researcher,Canada,Several times per week,Several times per week,30 minutes to 1 hour,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,to do lists and notes,"documents, research, and reference",NA,"checking the time, apps if necessary",NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,"notes, checking the time, apps, reference, documents",NA,NA,Not selected,Not selected,Not selected,Not selected,Yes,NA,NA
78,26,en,42,Male,NA,Lecturer,Germany,Multiple times per day,Every day,30 minutes to 1 hour,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,"Recording, articulating ideas","Referencing, collaborative work, sharing docs, scheduling",NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Not selected,Yes,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Not selected,Not selected,NA,"I read that Amos Tversky and Daniel Kahneman only had long walking meetings, every day."
79,27,en,27,Female,NA,Student,Belgium,Several times per week,Less than once per week,30 minutes to 1 hour,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,quick note,present demo,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Yes,"Only suit for some small topic, but not for serious problem",Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,NA,NA,NA,show/take some picture; emergency call,record the meeting,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA
80,28,en,60,Male,NA,Software Engineer,United States,Several times per week,Once per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,"Taking notes (Notezilla or Evernote), task list",NA,Recording or photographing the whiteboard,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,communication and recording audio notes,NA,NA,Yes,Not selected,Not selected,Yes,Not selected,NA,"Cogi and Google's Recorder are useful tools. I tap 4 times to mark an important event. Better to walk around a park or a campus, not a road with cars!"
81,30,en,32,Male,NA,Postdoc researcher,Canada,Several times per week,Less than once per week,30 minutes to 1 hour,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,for keeping notes/ sketching,"showing/searching relevant information (papers, figures, presentations) and notes/sketching",NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,note taking and quick visuals,NA,NA,Not selected,Yes,Not selected,Yes,Not selected,NA,NA
82,32,en,25,Male,NA,Graduate Student,Canada,Several times per week,Less than once per week,30 minutes to 1 hour,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,NA,NA,Taking notes,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,Record the conversation or take small notes if needed,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
83,33,en,34,Female,NA,artist,germany,Multiple times per day,Multiple times per day,1 to 2 hours,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,making notes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Not selected,Yes,Yes,Yes,Not selected,Yes,Not selected,NA,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,"taking notes, sketching",NA,NA,NA,NA,NA,Yes,Yes,Yes,Not selected,Not selected,NA,NA
84,34,en,32,Female,NA,Architekt,Austria,Less than once per week,Less than once per week,30 minutes to 1 hour,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Yes,NA,NA,NA,NA,Talking,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,NA,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,NA,NA,NA,video conference,conference,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
85,35,en,30,Female,NA,Psychologist,Austria,Several times per week,Every day,Less than 30 minutes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,"taking notes, write reminders",NA,NA,checking the calender,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Yes,Not selected,Yes,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,never thought about it,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Not selected,Not selected,Not selected,NA,NA
86,36,en,62,Male,NA,Programmer,Austria,Several times per week,Several times per week,30 minutes to 1 hour,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,notes,NA,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,fix follow ups,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
87,37,en,32,Female,NA,Eventmanager,Austria,Once per week,Once per week,1 to 2 hours,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,taking notea,Showing presentations,NA,Looking up something i don‘t know or checking social media,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,For everything,NA,NA,Yes,Yes,Not selected,Not selected,Not selected,NA,NA
88,38,en,29,Female,NA,Hospitality - Front Office Manager,Austria,Multiple times per day,Several times per week,30 minutes to 1 hour,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Notes,NA,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Yes,Yes,Not selected,Yes,Not selected,Not selected,NA,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Notes,NA,NA,Notes,NA,NA,Yes,Yes,Yes,Not selected,Not selected,NA,NA
89,39,en,25,Female,NA,Junior software engineer,Germany,Several times per week,Once per week,Less than 30 minutes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,"Taking notes, sketch ideas...",Taking notes to share with others and for presentations,NA,To make sure I’m available,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,NA,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,"Sketch ideas, make rough notes",NA,"Notes, sketches, presentation",NA,Would only use it if I have to remember a lot of details from the meeting,NA,Not selected,Yes,Yes,Yes,Not selected,NA,NA
90,40,en,25,Female,NA,Student,Germany,Several times per week,Once per week,30 minutes to 1 hour,Yes,Not selected,Yes,Yes,Not selected,Not selected,Not selected,NA,taking notes,NA,"taking notes, showing data",nothing,NA,NA,Not selected,Yes,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,NA,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,Audio recording,NA,NA,Yes,Yes,Not selected,Not selected,Not selected,NA,10/10 survey. Well done!
91,42,en,24,Female,NA,Teacher,Greece,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Taking notes,Presentations,NA,"Notes, e-mails",NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,Taking notes or using it as an audio recording device to help me with taking notes,NA,NA,Not selected,Yes,Not selected,Yes,Not selected,NA,NA
